#,NOMBRE,SEGUIDORES,TP,PAÍS,TEMA DE INFLUENCIA,ALCANCE POTENCIAL,GUARDAR,INVITAR A LA CAMPAÑA,channel_name,total_subscribers,total_views,total_videos,
1,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,Reino Unido,Música,9.9M,,Ver Perfil,NoCopyrightSounds,33600000,11011230785,1591, 
2,DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw,26.3M,-,Reino Unido,,7.9M,,Ver Perfil,DanTDM,28600000,19775951435,3705,
3,KSI @UCVtFOytbRpEvzLjvqGG5gxQ,24M,-,Reino Unido,,7.2M,,Ver Perfil,KSI,24100000,6015064768,1252,
4,Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg,23M,0.10%,Reino Unido,,6.9M,,Ver Perfil,Mister Max,24400000,15973601417,1136,
5,Jelly @UC0DZmkupLYwc0yDsfocLh0A,22.9M,-,Reino Unido,,6.9M,,Ver Perfil,Jelly,23500000,15032515044,6331,
6,Miss Katy @UCcartHVtvAUzfajflyeT_Gg,22.6M,-,Reino Unido,,6.8M,,Ver Perfil,Miss Katy,24500000,15462895287,1079,
7,Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ,21.1M,-,Reino Unido,,6.3M,,Ver Perfil,Dua Lipa,23300000,12792401018,222,
8,Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA,17.7M,0.30%,Reino Unido,,5.3M,,Ver Perfil,Dan Rhodes,26500000,18558843557,1664,
9,Ali-A @UCYVinkwSX7szARULgYpvhLw,17.7M,-,Reino Unido,,5.3M,,Ver Perfil,Ali-A,18900000,6454576924,4303,
10,Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ,17M,-,Reino Unido,,5.1M,,Ver Perfil,Gaby and Alex,17200000,8599791929,367,
11,Sidemen @UCDogdKl7t7NHzQ95aEwkdMw,17M,2.80%,Reino Unido,,5.1M,,Ver Perfil,Sidemen,21000000,6051069699,349,
12,Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ,16.3M,-,Reino Unido,,4.9M,,Ver Perfil,Queen Official,17500000,11172793107,1137,
13,Little Mix @UCIvqWqjC4aLvp7zI8hzARrA,16.1M,-,Reino Unido,,4.8M,,Ver Perfil,Little Mix,16300000,7760494530,278,
14,JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw,15.9M,-,Reino Unido,,4.8M,,Ver Perfil,JJ Olatunji,16300000,4235096703,1339,
15,F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g,14M,0.20%,Reino Unido,Celebridad,4.2M,,Ver Perfil,F2Freestylers - Ultimate Soccer Skills Channel,14100000,3338277500,779,
16,BBC News @UC16niRr50-MSBwiO3YDb3RA,13.3M,-,Reino Unido,,4M,,Ver Perfil,BBC News,15800000,5219037615,21145,
17,BBC @UCCj956IF62FbT7Gouszaj9w,12.9M,-,Reino Unido,,3.9M,,Ver Perfil,BBC,14100000,10345796779,18714,
18,Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA,12.4M,-,संयुक्त अधिराज्य,सङ्गीत,3.7M,,प्रोफ़ाइल देखें,Awakening Music,14000000,5895370212,923,
19,DisneyChannelUK @UCLeuoGy_hUDTBf5Hk0ynrpQ,12.3M,-,संयुक्त अधिराज्य,,3.7M,,प्रोफ़ाइल देखें,DisneyChannelUK,12900000,13239805858,4517,
20,colinfurze @UCp68_FLety0O-n9QU6phsgw,11.9M,0.60%,संयुक्त अधिराज्य,,3.6M,,प्रोफ़ाइल देखें,colinfurze,12900000,1737850096,397,
